"","vacc_care_2","vacc_timing_2","circle_vaccinated_2","personal_health_satisfaction_2","flu_disturbance_2","own_flu_symptoms_2","own_recent_flu_symptoms_2","circle_flu_symptoms_2","flu_gravity_2","flu_fatality_guess_2","flu_pandemic_influence_2","flu_hospitalized_2","vacc_efficacy_2","chinese_medicine_2","exercise_regularly_2","weekly_exercise_2","gender_2","average_monthly_income_2","season_2","vacc_sides_worry_2"
"1",0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"2",0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0
"3",0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"4",0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"6",0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
"7",0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0
"10",0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"12",0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"13",0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"14",0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0
"15",0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0
"16",0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"17",0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
"19",0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0
"21",0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"23",0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"24",0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
"25",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"26",0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"27",0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
"28",0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
"29",0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"30",0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"31",0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
"32",0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
"33",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"35",0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"37",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"38",0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
"39",0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"40",1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0
"41",0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"42",1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0
"43",1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0
"44",0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0
"47",0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1
"48",0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0
"50",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1
"52",1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"53",0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
"54",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"55",0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"56",0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
"57",0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
"58",0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
